gift_idea,average_price_gbp,average_rating,main_categories,sub_categories,num_products
Celtic Women'S Leather Shoulder Bag | Hand Bag | Tote Bag For Women |Girls,23.028291896390304,3.957351638618246,"['beauty & health', ""men's clothing"", 'music', 'grocery & gourmet foods', 'bags & luggage', 'industrial supplies', 'car & motorbike', 'stores', 'pet supplies', 'appliances', ""women's clothing"", ""men's shoes"", 'sports & fitness', 'accessories', 'tv, audio & cameras', 'home & kitchen', ""kids' fashion"", ""women's shoes"", 'toys & baby products']","['Bags & Luggage', 'Cricket', 'All Appliances', 'Cardio Equipment', 'Camera Accessories', 'Heating & Cooling Appliances', 'All Electronics', 'Speakers', 'All Grocery & Gourmet Foods', 'Amazon Fashion', 'Toys & Games', 'Cycling', 'Coffee, Tea & Beverages', 'All Pet Supplies', 'Football', ""Men's Fashion"", 'Western Wear', 'School Bags', 'All Sports, Fitness & Outdoors', 'Lab & Scientific', 'Formal Shoes', 'Kitchen & Home Appliances', 'Suitcases & Trolley Bags', 'Health & Personal Care', 'Travel Accessories', 'Rucksacks', 'Furniture', 'Badminton', 'Travel Duffles', 'Bedroom Linen', 'All Home & Kitchen', 'All Exercise & Fitness', 'Home Entertainment Systems', 'Kitchen & Dining', 'Strollers & Prams', 'Ballerinas', 'Diapers', ""Kids' Clothing"", 'All Car & Motorbike Products', 'Wallets', 'Lingerie & Nightwear', 'Car Accessories', 'Musical Instruments & Professional Audio', 'Strength Training', 'Baby Fashion', 'The Designer Boutique', ""Kids' Fashion"", 'Fashion & Silver Jewellery', 'Handbags & Clutches', 'Camping & Hiking', 'Beauty & Grooming', 'Jeans', 'Dog supplies', 'Jewellery', 'Cameras', 'Home Storage', 'Fashion Sales & Deals', 'Kitchen Storage & Containers', 'Garden & Outdoors', 'Clothing', 'Industrial & Scientific Supplies', 'Fitness Accessories', 'Sports Shoes', 'Make-up', 'Backpacks', 'Motorbike Accessories & Parts', 'Yoga', 'Test, Measure & Inspect', ""Kids' Shoes"", ""Women's Fashion"", 'Sewing & Craft Supplies']",19646
Cemera Light,29.93054266614235,3.8213443691999,"['beauty & health', ""men's clothing"", 'music', 'grocery & gourmet foods', 'bags & luggage', 'industrial supplies', 'car & motorbike', 'stores', 'pet supplies', 'appliances', ""women's clothing"", ""men's shoes"", 'sports & fitness', 'accessories', 'tv, audio & cameras', 'home & kitchen', ""kids' fashion"", ""women's shoes"", 'toys & baby products']","['Cricket', 'Home Audio & Theater', 'Camera Accessories', 'T-shirts & Polos', 'Heating & Cooling Appliances', ""Men's Fashion"", 'Football', 'School Bags', 'Lab & Scientific', 'Indoor Lighting', 'Fashion Sandals', 'Travel Duffles', 'Shoes', 'Nursing & Feeding', 'Home Furnishing', 'Security Cameras', 'Ballerinas', 'Lingerie & Nightwear', 'Industrial & Scientific Supplies', 'Yoga', ""Women's Fashion"", 'Toys Gifting Store', 'All Electronics', 'Cycling', 'All Pet Supplies', 'Running', 'Televisions', 'Formal Shoes', 'Rucksacks', 'Furniture', 'Car Electronics', 'Kitchen & Dining', 'Sportswear', ""Kids' Clothing"", 'Wallets', 'Car Accessories', 'The Designer Boutique', 'Fashion & Silver Jewellery', 'Snack Foods', 'Air Conditioners', 'Dog supplies', 'Cameras', 'Diet & Nutrition', 'Home Storage', 'Garden & Outdoors', 'Sports Shoes', ""Kids' Watches"", 'Ethnic Wear', 'Bags & Luggage', 'Car Parts', 'Speakers', 'All Grocery & Gourmet Foods', 'Amazon Fashion', 'All Sports, Fitness & Outdoors', 'Kitchen & Home Appliances', 'Suitcases & Trolley Bags', 'Baby Bath, Skin & Grooming', 'Travel Accessories', 'Badminton', 'Bedroom Linen', 'Home Entertainment Systems', 'All Car & Motorbike Products', 'Musical Instruments & Professional Audio', 'Household Supplies', 'Strength Training', 'Baby Fashion', 'Casual Shoes', 'Handbags & Clutches', 'Refrigerators', 'Home Improvement', 'Shirts', 'Personal Care Appliances', 'Fitness Accessories', 'Make-up', 'Clothing', 'Innerwear', 'Backpacks', 'Motorbike Accessories & Parts', 'Test, Measure & Inspect', ""Kids' Shoes"", 'All Appliances', 'Cardio Equipment', 'Luxury Beauty', 'Western Wear', 'Toys & Games', 'Coffee, Tea & Beverages', 'Sunglasses', 'Watches', 'Health & Personal Care', 'All Home & Kitchen', 'All Exercise & Fitness', 'Strollers & Prams', 'Home Décor', ""Kids' Fashion"", 'Camping & Hiking', 'Beauty & Grooming', 'Jeans', 'Baby Products', 'Car & Bike Care', 'Jewellery', 'Kitchen Storage & Containers', 'Headphones', 'Sewing & Craft Supplies']",10358
Centrino Men'S,18.07429090909091,3.513095238095238,"['stores', ""women's shoes"", ""kids' fashion"", ""men's shoes"", 'sports & fitness', 'accessories']","['Bags & Luggage', 'Formal Shoes', 'Fashion Sandals', ""Kids' Fashion"", 'Casual Shoes', 'Sports Shoes', 'Amazon Fashion', ""Men's Fashion"", 'Shoes', 'Running', 'Ballerinas', 'Sportswear', ""Women's Fashion""]",1650
Chill Out Printed Cotton Round Neck Regular Fit T-Shirt For Men |Half Sleeve T-Shirt|Round Neck T-Shirt For Women|T-Shirts...,10.425213044147053,3.8434983498349835,"['beauty & health', 'stores', 'pet supplies', ""kids' fashion"", 'appliances', 'bags & luggage', ""men's clothing"", ""women's clothing"", 'industrial supplies', ""men's shoes"", 'car & motorbike', 'sports & fitness', 'toys & baby products', 'music', 'accessories', 'tv, audio & cameras', 'home & kitchen']","['Bags & Luggage', 'Ethnic Wear', 'All Appliances', 'Cricket', 'Camera Accessories', 'T-shirts & Polos', 'Heating & Cooling Appliances', 'All Electronics', 'Western Wear', 'Amazon Fashion', ""Men's Fashion"", 'Cycling', 'All Pet Supplies', 'Football', 'Sunglasses', 'Running', 'All Sports, Fitness & Outdoors', 'Formal Shoes', 'Kitchen & Home Appliances', 'Health & Personal Care', 'Travel Accessories', 'Badminton', 'Bedroom Linen', 'All Exercise & Fitness', 'Nursing & Feeding', 'Home Furnishing', 'Sportswear', ""Kids' Clothing"", 'Musical Instruments & Professional Audio', 'Lingerie & Nightwear', 'Car Accessories', 'Baby Fashion', 'The Designer Boutique', ""Kids' Fashion"", 'Fashion & Silver Jewellery', 'Dog supplies', 'Home Improvement', 'Jewellery', 'Cameras', 'Shirts', 'Clothing', 'Headphones', 'Innerwear', 'Sports Shoes', 'Yoga', 'Test, Measure & Inspect', ""Women's Fashion"", 'Sewing & Craft Supplies']",13186
Coaster Mens Running Shoes Running Shoes,37.164451553930526,3.8026254646840147,"['stores', ""kids' fashion"", ""women's shoes"", 'appliances', ""men's clothing"", ""men's shoes"", 'sports & fitness', 'accessories']","['T-shirts & Polos', 'Heating & Cooling Appliances', 'Amazon Fashion', ""Men's Fashion"", 'Cycling', 'Football', 'Running', 'All Sports, Fitness & Outdoors', 'Formal Shoes', 'Watches', 'Shoes', 'Sportswear', 'Strength Training', 'Baby Fashion', ""Kids' Fashion"", 'Casual Shoes', 'Camping & Hiking', 'Innerwear', 'Sports Shoes', ""Kids' Shoes"", ""Women's Fashion""]",11304
Corxil Women'S Cotton Panties Cotton High Waist Panty Tummy Control Panty Tummy Tucker Hipster Pack Of 3,7.761217137293087,3.671150879358223,"['beauty & health', 'stores', ""kids' fashion"", 'bags & luggage', ""men's clothing"", ""women's clothing"", ""men's shoes"", 'sports & fitness', 'toys & baby products', 'accessories']","['Bags & Luggage', 'Ethnic Wear', 'Cardio Equipment', 'T-shirts & Polos', 'Western Wear', 'Amazon Fashion', ""Men's Fashion"", 'All Sports, Fitness & Outdoors', 'Travel Accessories', 'All Exercise & Fitness', ""Kids' Clothing"", 'Lingerie & Nightwear', 'Strength Training', 'Baby Fashion', 'The Designer Boutique', ""Kids' Fashion"", 'Casual Shoes', 'Fashion & Silver Jewellery', 'Camping & Hiking', 'Baby Products', 'Diet & Nutrition', 'Fitness Accessories', 'Clothing', 'Innerwear', 'Backpacks', 'Yoga', ""Women's Fashion""]",8310
D Shoes Sports Running Shoes For Men'S,14.531004202610042,3.4877374071015685,"['stores', ""women's shoes"", 'bags & luggage', ""kids' fashion"", ""men's clothing"", ""women's clothing"", ""men's shoes"", 'sports & fitness', 'grocery & gourmet foods', 'accessories', 'tv, audio & cameras', 'home & kitchen']","['Bags & Luggage', 'Cricket', 'Camera Accessories', 'T-shirts & Polos', 'Western Wear', 'Amazon Fashion', ""Men's Fashion"", 'Cycling', 'Football', 'Running', 'All Sports, Fitness & Outdoors', 'Formal Shoes', 'Fashion Sandals', 'Rucksacks', 'Badminton', 'Shoes', 'All Exercise & Fitness', 'Ballerinas', 'Sportswear', 'Lingerie & Nightwear', 'Strength Training', 'Baby Fashion', ""Kids' Fashion"", 'Casual Shoes', 'Snack Foods', 'Fitness Accessories', 'Clothing', 'Innerwear', 'Sports Shoes', 'Yoga', ""Kids' Shoes"", ""Women's Fashion"", 'Sewing & Craft Supplies']",9296
Daniel Klein Analog Gunmetal Dial Women'S Watch-Dk.1.12260-2,51.30896984924623,4.044807121661721,"['beauty & health', 'stores', ""women's shoes"", ""men's shoes"", 'accessories']","['Watches', 'Amazon Fashion', ""Men's Fashion"", 'Beauty & Grooming', 'Sunglasses', 'Ballerinas', 'Formal Shoes', ""Women's Fashion""]",1596
Decode Lr4121 Silver,32.98490488684815,4.024441608168475,"['beauty & health', ""men's clothing"", 'music', 'grocery & gourmet foods', 'bags & luggage', 'industrial supplies', 'car & motorbike', 'stores', 'pet supplies', 'appliances', ""women's clothing"", ""men's shoes"", 'sports & fitness', 'accessories', 'tv, audio & cameras', 'home & kitchen', ""kids' fashion"", ""women's shoes"", 'toys & baby products']","['Cricket', 'Camera Accessories', 'Heating & Cooling Appliances', ""Men's Fashion"", 'Lab & Scientific', 'Indoor Lighting', 'Fashion Sandals', 'Travel Duffles', 'Shoes', 'Nursing & Feeding', 'Home Furnishing', 'Lingerie & Nightwear', 'Industrial & Scientific Supplies', ""Women's Fashion"", 'Janitorial & Sanitation Supplies', 'All Electronics', 'Cycling', 'Rucksacks', 'Furniture', 'Gold & Diamond Jewellery', 'Kitchen & Dining', 'Sportswear', ""Kids' Clothing"", 'Wallets', 'Car Accessories', 'The Designer Boutique', 'Fashion & Silver Jewellery', 'Snack Foods', 'Dog supplies', 'Cameras', 'Diet & Nutrition', 'Sports Shoes', ""Kids' Watches"", 'Ethnic Wear', 'Bags & Luggage', 'Car Parts', 'Speakers', 'Amazon Fashion', 'All Sports, Fitness & Outdoors', 'Kitchen & Home Appliances', 'Suitcases & Trolley Bags', 'Baby Bath, Skin & Grooming', 'Travel Accessories', 'Badminton', 'Bedroom Linen', 'Home Entertainment Systems', 'All Car & Motorbike Products', 'Musical Instruments & Professional Audio', 'Household Supplies', 'Strength Training', 'Baby Fashion', 'Casual Shoes', 'Handbags & Clutches', 'Refrigerators', 'Home Improvement', 'Shirts', 'Personal Care Appliances', 'Make-up', 'Clothing', 'Innerwear', 'Backpacks', 'Motorbike Accessories & Parts', 'Test, Measure & Inspect', ""Kids' Shoes"", 'All Appliances', 'Luxury Beauty', 'Western Wear', 'Toys & Games', 'Coffee, Tea & Beverages', 'Sunglasses', 'Watches', 'Health & Personal Care', 'All Home & Kitchen', 'All Exercise & Fitness', 'Home Décor', ""Kids' Fashion"", 'Camping & Hiking', 'Beauty & Grooming', 'Jeans', 'Washing Machines', 'Car & Bike Care', 'Jewellery', 'Kitchen Storage & Containers', 'Headphones', 'Sewing & Craft Supplies']",12334
Delexo Men�S Slim Fit Blue Stretchable Denim Jeans,19.93694674556213,3.60217519106408,"['beauty & health', 'stores', ""kids' fashion"", ""men's clothing"", ""women's clothing"", ""men's shoes"", 'car & motorbike', 'sports & fitness', 'music', 'accessories', 'tv, audio & cameras']","['Bags & Luggage', 'Ethnic Wear', 'Cricket', 'T-shirts & Polos', 'All Electronics', 'Speakers', 'Western Wear', 'Amazon Fashion', ""Men's Fashion"", 'Football', 'Running', 'All Sports, Fitness & Outdoors', 'Formal Shoes', 'All Exercise & Fitness', ""Kids' Clothing"", 'All Car & Motorbike Products', 'Musical Instruments & Professional Audio', 'Household Supplies', 'The Designer Boutique', ""Kids' Fashion"", 'Casual Shoes', 'Handbags & Clutches', 'Jeans', 'Shirts', 'Clothing', 'Innerwear', 'Sports Shoes', 'Motorbike Accessories & Parts', ""Women's Fashion""]",10852
Eemway Cover With Shoestand,26.4362273476112,3.9089472433460073,"['beauty & health', ""men's clothing"", 'music', 'grocery & gourmet foods', 'bags & luggage', 'industrial supplies', 'car & motorbike', 'stores', 'home, kitchen, pets', 'pet supplies', 'appliances', ""women's clothing"", ""men's shoes"", 'sports & fitness', 'accessories', 'tv, audio & cameras', 'home & kitchen', ""kids' fashion"", ""women's shoes"", 'toys & baby products']","['Cricket', 'Camera Accessories', 'T-shirts & Polos', 'Heating & Cooling Appliances', ""Men's Fashion"", 'Football', 'School Bags', 'Lab & Scientific', 'Indoor Lighting', 'Travel Duffles', 'Shoes', 'Nursing & Feeding', 'Home Furnishing', 'Security Cameras', 'Ballerinas', 'Lingerie & Nightwear', 'Industrial & Scientific Supplies', 'Yoga', ""Women's Fashion"", 'Janitorial & Sanitation Supplies', 'All Electronics', 'Cycling', 'All Pet Supplies', 'Running', 'Televisions', 'Formal Shoes', 'Rucksacks', 'Furniture', 'Car Electronics', 'Gold & Diamond Jewellery', 'Kitchen & Dining', 'Diapers', ""Kids' Clothing"", 'Wallets', 'Car Accessories', 'Fashion & Silver Jewellery', 'Snack Foods', 'Dog supplies', 'Cameras', 'Diet & Nutrition', 'Home Storage', 'Garden & Outdoors', 'Sports Shoes', 'Bags & Luggage', 'Ethnic Wear', 'Car Parts', 'Speakers', 'All Grocery & Gourmet Foods', 'Amazon Fashion', 'Refurbished & Open Box', 'All Sports, Fitness & Outdoors', 'Kitchen & Home Appliances', 'Suitcases & Trolley Bags', 'Baby Bath, Skin & Grooming', 'Travel Accessories', 'Badminton', 'Bedroom Linen', 'Home Entertainment Systems', 'All Car & Motorbike Products', 'Musical Instruments & Professional Audio', 'Household Supplies', 'Strength Training', 'Baby Fashion', 'Casual Shoes', 'Handbags & Clutches', 'Refrigerators', 'Home Improvement', 'Fitness Accessories', 'Make-up', 'Clothing', 'Innerwear', 'Backpacks', 'Motorbike Accessories & Parts', 'Test, Measure & Inspect', ""Kids' Shoes"", 'All Appliances', 'Cardio Equipment', 'Luxury Beauty', 'Western Wear', 'Toys & Games', 'Coffee, Tea & Beverages', 'Sunglasses', 'Watches', 'Health & Personal Care', 'All Home & Kitchen', 'All Exercise & Fitness', 'Strollers & Prams', 'Home Décor', ""Kids' Fashion"", 'Camping & Hiking', 'Beauty & Grooming', 'Jeans', 'Washing Machines', 'Baby Products', 'Car & Bike Care', 'Kitchen Storage & Containers', 'Headphones', 'Sewing & Craft Supplies']",19758
Esprit Analog Gunmetal Dial Women'S Watch-Es1L091M0075,66.60699242277055,4.149508275365795,"['beauty & health', 'stores', ""kids' fashion"", 'industrial supplies', 'accessories']","[""Kids' Watches"", ""Kids' Fashion"", 'Amazon Fashion', ""Men's Fashion"", 'Beauty & Grooming', 'Test, Measure & Inspect', 'Watches', ""Women's Fashion""]",10584
Ess Crossbow Lens,50.00630549898167,3.9406115879828327,"['beauty & health', 'stores', ""kids' fashion"", 'bags & luggage', ""women's clothing"", 'industrial supplies', 'car & motorbike', 'sports & fitness', 'toys & baby products', 'accessories', 'tv, audio & cameras', 'home & kitchen']","['Bags & Luggage', 'Cricket', 'Camera Accessories', 'All Electronics', 'Car Parts', 'Speakers', 'Amazon Fashion', 'Toys & Games', 'Cycling', ""Men's Fashion"", 'Sunglasses', 'Televisions', 'Lab & Scientific', 'Watches', 'Health & Personal Care', 'Car Electronics', 'All Home & Kitchen', 'Home Entertainment Systems', 'Security Cameras', 'Kitchen & Dining', ""Kids' Clothing"", 'All Car & Motorbike Products', 'Car Accessories', 'The Designer Boutique', ""Kids' Fashion"", 'Handbags & Clutches', 'Camping & Hiking', 'Beauty & Grooming', 'Car & Bike Care', 'Jewellery', 'Cameras', 'Clothing', 'Industrial & Scientific Supplies', 'Backpacks', 'Motorbike Accessories & Parts', 'Test, Measure & Inspect', ""Women's Fashion""]",5000
Fabindia Womens Kurta,23.371174320673763,3.7470437956204377,"['stores', ""kids' fashion"", ""men's clothing"", ""women's clothing"", 'toys & baby products', 'accessories']","[""Kids' Clothing"", 'Ethnic Wear', 'Lingerie & Nightwear', 'Baby Fashion', 'Shirts', 'The Designer Boutique', 'T-shirts & Polos', ""Kids' Fashion"", 'Clothing', 'Western Wear', 'Amazon Fashion', ""Men's Fashion"", 'Baby Products', ""Women's Fashion"", 'Jewellery']",12714
Fabrasiya Women'S Dress For Girs,17.955161019792016,3.775615972812234,"['stores', 'pet supplies', ""women's shoes"", ""kids' fashion"", 'appliances', 'bags & luggage', ""men's clothing"", ""women's clothing"", 'industrial supplies', ""men's shoes"", 'sports & fitness', 'toys & baby products', 'accessories', 'home & kitchen']","['Ethnic Wear', 'Cricket', 'T-shirts & Polos', 'Heating & Cooling Appliances', 'Western Wear', 'Amazon Fashion', 'Toys & Games', ""Men's Fashion"", 'Football', 'Sunglasses', 'Formal Shoes', 'Watches', 'Fashion Sandals', 'Baby Bath, Skin & Grooming', 'Travel Accessories', 'Travel Duffles', 'Shoes', ""Kids' Clothing"", 'Lingerie & Nightwear', 'Baby Fashion', 'The Designer Boutique', ""Kids' Fashion"", 'Casual Shoes', 'Fashion & Silver Jewellery', 'Jeans', 'Dog supplies', 'Baby Products', 'Shirts', 'Clothing', 'Industrial & Scientific Supplies', 'Innerwear', 'Yoga', ""Kids' Shoes"", ""Women's Fashion"", 'Sewing & Craft Supplies']",12064
Farp Digital Watch Led Watch White Colour Mens Watch Boys Watch Women'S Watch Girls Watch,30.708460424710424,3.705044974579585,"['beauty & health', 'stores', ""kids' fashion"", 'bags & luggage', 'appliances', ""men's clothing"", 'industrial supplies', 'car & motorbike', 'sports & fitness', 'toys & baby products', 'accessories', 'tv, audio & cameras', 'home & kitchen']","[""Kids' Watches"", 'Bags & Luggage', 'Camera Accessories', 'T-shirts & Polos', 'Heating & Cooling Appliances', 'All Electronics', 'Amazon Fashion', 'Toys & Games', 'Cycling', ""Men's Fashion"", 'Sunglasses', 'Running', 'Televisions', 'School Bags', 'All Sports, Fitness & Outdoors', 'Watches', 'Travel Accessories', 'Rucksacks', 'Car Electronics', 'All Home & Kitchen', 'Home Entertainment Systems', 'Security Cameras', 'Strollers & Prams', ""Kids' Clothing"", 'Wallets', 'Baby Fashion', ""Kids' Fashion"", 'Fashion & Silver Jewellery', 'Handbags & Clutches', 'Beauty & Grooming', 'Jewellery', 'Cameras', 'Shirts', 'Backpacks', 'Test, Measure & Inspect', ""Women's Fashion""]",8534
Fast Charging Usb Cable For Realme 3I Usb Cable | Micro Usb Data Cable | Quick Fast Charging Cable | Charger Cable | Andro...,11.981562178828366,3.98943161634103,"['beauty & health', 'stores', 'appliances', 'bags & luggage', ""women's clothing"", 'industrial supplies', 'car & motorbike', 'sports & fitness', 'toys & baby products', 'music', 'accessories', 'tv, audio & cameras', 'home & kitchen']","['Bags & Luggage', 'All Appliances', 'Home Audio & Theater', 'Camera Accessories', 'Heating & Cooling Appliances', 'All Electronics', 'Car Parts', 'Speakers', 'Amazon Fashion', 'Toys & Games', ""Men's Fashion"", 'Running', 'Televisions', 'All Sports, Fitness & Outdoors', 'Lab & Scientific', 'Indoor Lighting', 'Kitchen & Home Appliances', 'Travel Accessories', 'Car Electronics', 'Badminton', 'All Home & Kitchen', 'All Exercise & Fitness', 'Home Entertainment Systems', 'Security Cameras', 'Kitchen & Dining', 'All Car & Motorbike Products', 'Musical Instruments & Professional Audio', 'Lingerie & Nightwear', 'Strength Training', 'Handbags & Clutches', 'Camping & Hiking', 'Refrigerators', 'Washing Machines', 'Home Improvement', 'Cameras', 'Diet & Nutrition', 'Home Storage', 'Personal Care Appliances', 'Fitness Accessories', 'Make-up', 'Clothing', 'Industrial & Scientific Supplies', 'Headphones', 'Backpacks', 'Motorbike Accessories & Parts', 'Test, Measure & Inspect']",7856
Femimode Rayon Kurti For Women/Frock For Women/Long Kurti For Women,15.98351051625239,3.76384350816853,"['stores', 'toys & baby products', 'accessories', ""women's clothing""]","['Ethnic Wear', 'Lingerie & Nightwear', 'The Designer Boutique', 'Clothing', 'Fashion & Silver Jewellery', 'Western Wear', 'Amazon Fashion', 'Baby Products', ""Women's Fashion""]",5368
Gritstones Men'S Regular Fit Shirt,13.742110417258019,3.7838156484458736,"['beauty & health', 'stores', ""kids' fashion"", ""women's shoes"", ""men's clothing"", ""women's clothing"", ""men's shoes"", 'sports & fitness', 'toys & baby products', 'grocery & gourmet foods', 'accessories', 'home & kitchen']","['Bags & Luggage', 'Ethnic Wear', 'Cricket', 'T-shirts & Polos', 'All Grocery & Gourmet Foods', 'Amazon Fashion', ""Men's Fashion"", 'Cycling', 'Western Wear', 'Football', 'Running', 'All Sports, Fitness & Outdoors', 'Formal Shoes', 'All Home & Kitchen', 'Shoes', 'All Exercise & Fitness', ""Kids' Clothing"", 'Lingerie & Nightwear', 'Household Supplies', 'Baby Fashion', 'The Designer Boutique', ""Kids' Fashion"", 'Casual Shoes', 'Fashion & Silver Jewellery', 'Handbags & Clutches', 'Snack Foods', 'Jeans', 'Baby Products', 'Shirts', 'Clothing', 'Innerwear', 'Yoga', ""Women's Fashion""]",14242
Hailea Aco 318 Air Composer,85.96823943661971,3.780868665977249,"['beauty & health', ""men's clothing"", 'music', 'grocery & gourmet foods', 'bags & luggage', 'industrial supplies', 'car & motorbike', 'stores', 'pet supplies', 'appliances', ""women's clothing"", ""men's shoes"", 'sports & fitness', 'accessories', 'tv, audio & cameras', 'home & kitchen', ""kids' fashion"", ""women's shoes"", 'toys & baby products']","['Home Audio & Theater', 'Camera Accessories', 'T-shirts & Polos', 'Heating & Cooling Appliances', ""Men's Fashion"", 'Football', 'School Bags', 'Lab & Scientific', 'Travel Duffles', 'Shoes', 'Nursing & Feeding', 'Home Furnishing', 'Security Cameras', 'Lingerie & Nightwear', 'Industrial & Scientific Supplies', ""Women's Fashion"", 'Janitorial & Sanitation Supplies', 'All Electronics', 'Cycling', 'All Pet Supplies', 'Running', 'Formal Shoes', 'Furniture', 'Kitchen & Dining', 'Sportswear', 'Car Accessories', 'Snack Foods', 'Air Conditioners', 'Dog supplies', 'Cameras', 'Home Storage', 'Garden & Outdoors', 'Sports Shoes', 'Bags & Luggage', 'Car Parts', 'Speakers', 'Amazon Fashion', 'All Sports, Fitness & Outdoors', 'Kitchen & Home Appliances', 'Suitcases & Trolley Bags', 'Baby Bath, Skin & Grooming', 'Travel Accessories', 'Badminton', 'Bedroom Linen', 'Home Entertainment Systems', 'All Car & Motorbike Products', 'Musical Instruments & Professional Audio', 'Household Supplies', 'Casual Shoes', 'Handbags & Clutches', 'Refrigerators', 'Home Improvement', 'Shirts', 'Personal Care Appliances', 'Fitness Accessories', 'Make-up', 'Clothing', 'Innerwear', 'Backpacks', 'Motorbike Accessories & Parts', 'Test, Measure & Inspect', 'All Appliances', 'Cardio Equipment', 'Luxury Beauty', 'Toys & Games', 'Sunglasses', 'Health & Personal Care', 'All Home & Kitchen', 'All Exercise & Fitness', 'Strollers & Prams', 'Home Décor', ""Kids' Fashion"", 'Camping & Hiking', 'Beauty & Grooming', 'Washing Machines', 'Baby Products', 'Car & Bike Care', 'Jewellery', 'Kitchen Storage & Containers', 'Headphones', 'Sewing & Craft Supplies']",7516
